customer_id,tenure_months,monthly_charge,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,streaming_tv,avg_monthly_gb,num_complaints,satisfaction_score,churn
1,52,119.40816546455756,3606.257853927939,Two year,Electronic check,No,No,Yes,Yes,40.87012912088432,0,2,0
2,15,21.107855259430966,3635.7249778166315,One year,Electronic check,No,No,Yes,Yes,51.531658005994295,0,1,1
3,61,93.01734533106766,1483.7458395185524,Two year,Electronic check,No,Yes,No,Yes,35.29510622714408,0,2,0
4,21,77.17893159359805,4193.001658206405,Month-to-month,Electronic check,No,Yes,Yes,Yes,57.35163277768452,0,1,1
5,24,63.40521760809567,1652.540223886617,One year,Bank transfer,Yes,No,No,Yes,32.5369836590426,1,4,1
6,3,32.75701745713709,3652.956307534057,One year,Mailed check,Yes,Yes,No,Yes,67.84389457271021,0,4,1
7,22,60.908514863487625,692.8988608091255,Month-to-month,Electronic check,No,No,Yes,No,51.120704064237046,0,3,1
8,53,55.43771829861353,926.6380497383537,Month-to-month,Electronic check,Yes,Yes,No,No,70.51092728549115,0,4,0
9,2,50.28298889787422,1647.3986580904307,Month-to-month,Electronic check,No,No,Yes,Yes,43.09789612152346,1,4,1
10,30,93.08796233222077,3009.9814615725213,One year,Bank transfer,Yes,Yes,No,Yes,87.65001370386457,0,3,0
11,38,90.07255212842638,3263.0062788456266,Month-to-month,Electronic check,Yes,Yes,No,Yes,38.213277299933864,0,1,0
12,2,78.90200909809116,2042.1452426406267,Two year,Mailed check,Yes,Yes,No,No,30.813366945056064,0,4,0
13,64,113.86648132933722,481.4118502415188,Month-to-month,Bank transfer,Yes,No,No,No,55.70850178312327,0,5,1
14,60,54.985438418085444,1930.809795254349,Month-to-month,Bank transfer,No,No,Yes,No,50.9172454009155,0,4,0
15,21,44.38019377101796,3474.9608281998426,Two year,Credit card,Yes,No,Yes,No,51.80980733655883,0,4,0
16,33,85.59033130983995,3387.877759538548,One year,Credit card,No,No,Yes,No,79.61300909464708,0,2,0
17,58,39.881406093740296,884.9624247066695,Month-to-month,Bank transfer,No,Yes,No,Yes,58.859676930544914,1,4,1
18,22,51.50105071834246,138.14145431793906,Month-to-month,Electronic check,Yes,No,No,No,88.52654588827058,0,4,1
19,49,42.460244007488484,3789.6099247509724,One year,Electronic check,No,No,Yes,Yes,61.90969833392602,0,5,0
20,59,26.91535677185012,621.2040152876942,Two year,Electronic check,No,Yes,Yes,No,2.170114409441426,0,3,0
21,42,102.74987416356734,503.5108054249989,Two year,Electronic check,No,No,Yes,Yes,87.03935440525943,0,3,0
22,60,45.45405429216612,113.23596248740098,One year,Credit card,No,No,No,No,83.9784492695117,1,3,0
23,15,67.30275033430206,2219.7464971889435,Month-to-month,Mailed check,Yes,No,Yes,No,4.884986750951614,0,2,0
24,62,24.331527325431196,2565.9931144139905,Month-to-month,Bank transfer,Yes,No,No,No,12.528445857799198,0,4,1
25,62,89.93394662526431,3224.553826128094,Month-to-month,Electronic check,Yes,No,Yes,No,55.63560107441948,1,1,1
26,47,53.056100230629085,1550.7128194916706,Month-to-month,Credit card,Yes,No,Yes,No,4.28525678641849,0,1,1
27,62,94.473672782921,3581.0811102952216,Month-to-month,Mailed check,No,No,Yes,Yes,41.11679783434137,0,5,0
28,51,61.240306046786614,929.7261012940137,Month-to-month,Bank transfer,No,Yes,Yes,No,97.5360648078277,1,2,1
29,55,39.57556064056246,4176.751260240702,One year,Bank transfer,Yes,No,Yes,No,17.277614969391443,0,2,1
30,64,71.3175082282036,2902.056811563183,Month-to-month,Bank transfer,Yes,Yes,Yes,No,20.60958232350544,0,4,0
31,3,33.05045596374398,2961.060134523037,One year,Electronic check,No,No,Yes,No,67.634838152065,1,1,0
32,51,64.05391598729948,1127.8995275176298,Two year,Bank transfer,Yes,No,Yes,No,4.3978209050859585,0,2,0
33,7,51.73054774204866,463.1328715719024,One year,Electronic check,No,Yes,No,No,82.0686161511978,0,5,0
34,21,111.19595841996332,2377.15153509529,One year,Mailed check,Yes,Yes,No,No,19.903115253395885,1,1,1
35,39,26.092872172071996,3116.498564419559,One year,Credit card,No,No,No,No,53.15541640892788,0,2,1
36,18,89.4017414105742,565.7276474422595,Month-to-month,Credit card,No,Yes,Yes,No,24.876316094112983,0,4,1
37,4,38.275116598743594,4757.618925188017,Month-to-month,Credit card,Yes,Yes,No,Yes,65.88819371099001,1,4,1
38,60,51.90450743322398,4904.030365140753,Month-to-month,Bank transfer,Yes,No,Yes,Yes,58.721609223891555,0,4,1
39,14,61.551406306206594,2772.7378074232106,Month-to-month,Credit card,Yes,No,Yes,No,94.64397337431734,0,4,1
40,9,110.80150893749742,4755.33886083969,One year,Mailed check,No,No,Yes,No,44.56007555770574,0,1,0
41,53,44.25782660738251,979.28166414618,Two year,Electronic check,Yes,No,Yes,No,87.48789627242867,1,1,1
42,2,29.130880254467023,224.56135737967196,Two year,Credit card,Yes,No,Yes,No,57.582183652175125,0,2,0
43,60,51.868960399052355,293.10672292291065,Month-to-month,Electronic check,Yes,Yes,Yes,No,91.44626521889468,0,5,0
44,71,30.467597053553334,2978.8111491912177,Two year,Electronic check,Yes,No,Yes,Yes,29.18220637679737,0,3,0
45,44,32.85964859605525,402.0452288404353,Month-to-month,Credit card,Yes,No,Yes,No,54.976104794028544,0,3,0
46,8,77.38505979750266,4796.873473438027,Two year,Credit card,No,No,No,Yes,39.00296415677725,0,4,1
47,47,26.09019330994933,795.472732721053,Month-to-month,Credit card,Yes,No,No,No,6.589731745431027,0,2,1
48,35,23.093088139356603,1593.1417496595952,Month-to-month,Bank transfer,Yes,Yes,No,No,57.426580272685854,1,3,1
